"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"3",0,"SO",20,1,"P",1,1000,5,2,0,11,1,10,155,0.0236846933,56.6484375,1,2,647,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"7",1,"SL",25,4,"R",1,1450,16,1,0,21,0,11,586,0.0437840207,40.359375,1,0,41,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"8",0,"SA",19,0,"P",1,950,2,1,0,0,0,20,372,0.1896084142,51.75,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"9",160,"SO",18,1,"P",1,750,2,1,0,19,1,13,3007,0,95.125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"11",400,"SN",20,0,"P",1,950,10,2,69,6,3,17,0,0.2584823109,47.71875,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"12",400,"SO",22,1,"P",1,1150,33,4,0,23,4,12,93,0.0497738554,66.875,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"13",0,"SO",16,1,"P",1,250,12,1,1,13,4,31,744,0,46.1953125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"14",0,"SD",19,0,"P",1,150,3,2,29,1,0,2,1240,0.0183322951,9.40625,1,1,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"16",0,"SM",26,0,"H",1,3150,15,1,0,14,0,9,186,0,88.78125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"17",2400,"SC",45,1,"R",1,500,2,2,0,0,7,1,93,0.165088444,66.625,1,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"18",0,"SO",22,0,"P",2,100,11,1,130,13,0,8,588,0,75.109375,1,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"19",0,"SO",16,0,"P",1,2850,25,2,123,3,10,3,495,0,51.2734375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"20",0,"SC",21,1,"P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"21",0,"SA",20,1,"P",1,950,13,2,39,20,1,22,649,0.0830125867,74.921875,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"22",420,"SO",21,1,"R",1,250,18,2,35,11,1,15,0,0.0473788973,38.234375,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"24",1,"SO",21,0,"R",1,500,3,1,1,0,0,6,869,0,40.21875,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"25",700,"SN",21,1,"R",1,500,4,1,60,18,0,10,526,0.031742534,70.828125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"27",0,"SD",20,1,"P",1,50,22,1,40,1,0,3,0,0.325250065,31.40625,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"29",0,"SO",22,3,"P",3,950,10,2,0,16,4,16,93,0.1443335731,50.1796875,1,2,2119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"32",0,"SC",21,1,"P",1,250,11,2,297,4,5,17,621,0.2441240083,55.71875,1,0,144,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"37",1000,"SE",22,3,"R",1,600,13,1,39,27,5,47,0,0,61.0625,1,0,0,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"38",1,"SF",22,0,"P",1,7750,17,1,45,3,4,10,497,0.1748244725,67.03125,1,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"42",0,"SA",19,1,"P",1,2650,13,1,40,3,2,12,31,0.0284230103,58.296875,1,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"44",0,"FT",22,0,"P",1,2050,3,1,130,22,2,7,558,0.0791726275,54.3984375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"47",0,"SL",19,1,"P",1,200,1,1,0,11,0,7,0,0.1267379709,68.09375,3,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"49",1,"SO",18,1,"P",1,5650,24,1,0,11,0,23,0,0.1678808331,58.375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"51",140,"FT",17,0,"P",1,1100,46,1,25,19,0,12,311,0,67.78125,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"52",1,"SC",23,6,"R",1,1900,30,1,84,19,0,11,0,0.0776888279,68.328125,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"54",0,"SO",23,4,"R",1,100,8,1,0,18,2,17,0,0,59.84375,1,0,451,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"56",1,"SL",17,0,"R",1,300,4,1,1,21,0,14,5704,0,30.25390625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"58",0,"SG",20,2,"P",1,750,6,1,0,11,0,63,62,0.0065730454,63.9296875,1,1,354,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
