disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,var.FT,var.SA,var.SB,var.SC,var.SD,var.SE,var.SF,var.SG,var.SH,var.SJ,var.SK,var.SL,var.SM,var.SN,var.SO,var.H,var.P,var.R,var.1,var.2,var.3,var.4,var.5,response
0,SO,20,1,P,1,600,5,2,0,11,1,10,31,0.023684693,56.6484375,1,2,647,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,SL,25,4,R,1,750,7,2,0,0,1,3,61,0.043784021,40.359375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,SA,19,0,P,1,950,2,1,0,0,0,17,1,0.189608414,51.75,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
160,SO,18,1,P,1,150,25,1,0,19,0,13,125,0,95.125,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
400,SN,20,0,P,1,950,10,2,69,6,3,17,125,0.258482311,47.71875,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
400,SO,22,1,P,1,350,33,1,40,23,4,12,1,0.049773855,66.875,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SO,16,1,P,1,1250,27,2,0,13,0,31,775,0,46.1953125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SD,19,0,P,1,2800,3,2,29,10,1,29,3720,0.018332295,9.40625,1,1,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,SM,26,1,H,1,3150,15,1,0,3,0,3,186,0,36.296875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2400,SC,45,1,R,1,4650,2,2,0,14,7,4,1642,0.165088444,66.625,1,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,SO,22,0,P,1,350,28,1,0,14,5,17,157,0,85.15625,1,0,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,SO,16,1,P,1,200,10,1,0,3,0,3,0,0,51.2734375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SC,21,1,P,1,3300,4,1,95,23,2,18,248,0.043059223,69.640625,1,1,2970,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,SA,20,1,P,1,950,13,2,39,20,1,22,340,0.083012587,74.921875,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
420,SO,21,1,R,1,250,18,2,0,11,1,15,0,0.047378897,38.234375,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,SO,21,0,P,1,350,8,1,0,3,0,52,249,0,40.21875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
700,SN,21,1,R,1,500,4,1,0,6,0,2,526,0.031742534,70.828125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,SD,20,1,P,1,100,22,1,0,10,1,3,0,0.325250065,31.40625,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,SO,22,3,P,1,950,10,2,0,16,4,16,0,0.144333573,50.1796875,1,2,2119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
0,SC,21,1,P,1,100,11,1,297,4,5,17,682,0.244124008,55.71875,1,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1000,SE,22,1,R,1,400,19,1,35,8,0,3,280,0,33.8359375,1,0,0,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,SF,22,0,P,1,1650,17,1,45,3,4,10,589,0.174824473,67.03125,2,0,0,5,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SA,19,1,P,1,950,13,1,40,3,2,12,1085,0.02842301,58.296875,1,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,FT,22,0,P,1,150,2,2,0,0,1,2,0,0.079172628,87.0625,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,SL,19,1,P,1,200,1,1,35,11,0,7,0,0.126737971,68.09375,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,SO,18,1,P,1,500,3,1,0,11,0,23,185,0.167880833,58.375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
140,FT,17,0,P,1,800,3,1,0,22,0,2,0,0,67.78125,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,SC,23,6,R,1,1900,30,1,0,23,0,1,0,0.077688828,68.328125,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,SO,23,4,R,1,200,8,2,0,0,2,2,0,0,59.84375,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
1,SL,17,1,R,1,100,2,1,0,16,1,8,29,0,30.25390625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,SG,20,2,P,1,750,6,1,0,11,1,63,62,0.006573045,63.9296875,1,1,354,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,SO,30,1,P,1,950,14,1,19,24,11,37,682,0.052771707,78.921875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,SL,22,0,P,1,1500,19,1,0,19,6,93,0,0.1978847,49.640625,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,SD,21,0,R,1,150,11,1,635,4,2,32,0,0.071086343,29.73828125,1,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,SD,29,1,H,1,100,83,2,0,20,0,2,0,0.367760315,63.859375,1,0,0,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,SO,18,1,P,1,750,41,1,0,12,0,8,0,0,64.421875,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SA,23,0,R,1,950,6,1,0,6,0,13,0,0.103787895,53.7265625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,SA,21,4,P,1,950,11,2,59,13,4,44,1116,0.03876598,47.0859375,2,1,1320,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
960,SM,46,1,R,1,950,3,3,0,0,0,2,805,0,43.2265625,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,SL,22,4,R,2,350,16,2,0,0,2,2,0,0.087539523,48.28125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,SB,19,1,R,1,350,4,1,0,0,1,44,186,0.254084923,71.3125,1,0,2027,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,SO,18,1,P,1,150,11,1,24,26,2,4,0,0.027053592,50.9765625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,SO,28,1,R,1,150,15,1,0,1,1,2,0,0.338373236,65.84375,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,SL,19,1,P,2,500,10,2,44,9,0,22,0,0.099442833,68.78125,2,2,1150,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,SO,20,1,P,1,150,10,1,0,2,2,15,0,0,9.8125,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,FT,22,1,P,1,500,46,1,0,7,0,1,0,0.096788399,55.109375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SO,19,1,P,1,200,2,1,0,16,26,4,63,0,17.1328125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
