"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"1",-24,0,"SB",19,1,"P",1,500,5,1,7.22833333333333,3,1,13,250,0,66.14185546875,1.08,0,0,3,-1
"2",-10,0,"SO",29,2,"R",1,454.5,5,1,89,3.146,1.46,9.72,690.69,0.0075291667,68.859375,1,0,0,3,1
"3",1,0,"SO",20,1,"P",1,1084,5,2,0,11,1,10,240.613333333333,0.0236846933,56.6484375,1,2,647,3,3
"4",-15,0,"SO",16,0,"P",1.31,268.5,34.89,1,40.245,13.925,0.1,16.38,265.325,0.208693366,65.328125,1.02,0,-5.74686964682769e-13,5,-1
"5",-19,600,"SE",18,0,"P",1.26375,578.75,11,1,80,9.04,0,18.72,381.77,0.5450069867,51.234375,1,1,37,3,2
"6",-18,0,"SF",16,0,"P",1.35,591.25,28.75,1.11,65.62,0,0.32,2,403.31,0.4294992778,59.4765625,1.07,0,2.5999999999996,5,-1
"7",8,1,"SL",25,4,"R",1.19,983.5,28.43,1.22,20.79,1.84,0.91,7.58,636.415,0.0437840207,40.359375,1,0,194.55,5,-1
"8",17,0,"SA",19,0,"P",1,950,2,1,0,0,1.06,11.66,456.29,0.1896084142,51.75,1.08,0,0,3,3
"9",16,160,"SO",18,0.62,"P",1.346,270.5,35.804,1.05,43.13,19,0.14,13,200.945,0,95.125,1.01,0,-5.48538992006797e-13,5,-1
"10",-9,0,"SO",20,1,"P",1.43,200,24,5,0,12,6,19,715.81,0.2268738379,57.515625,2,4,290,1,0
"11",21,400,"SN",20,0,"P",1.18,950,10,2,69,6,3,17,491.68,0.2584823109,47.71875,1,1,0,3,2
"12",2,400,"SO",22,3.25,"P",1.21,790,33,1.25,20,23,4,12,355.86,0.0497738554,66.875,1,0,429.47,5,2
"13",6,0,"SO",16,0.52,"P",1.24,168.208333333333,9.46,1.03,36.1,13,0.32,31,46.13,0,46.1953125,1.08,0,0.959999999999394,5,-1
"14",20,0,"SD",19,0,"P",1,446.625,3,2,29,11.105,1.3,21.29,216.89,0.0183322951,9.40625,1,1,0,3,4
"15",-12,0,"SE",21,1,"P",1.11666666666667,1200,20,2,34.0666666666667,8.52,3,12.18,565.42,0.5236931592,42.6796875,1,1,363,3,0
"16",25,0,"SM",26,1.78,"H",1.23,3150,15,1,0,14.365,0,19.32,186,0,66.5177526041667,1.115,0,0,3,-1
"17",11,2400,"SC",45,1,"R",1,5370,2,2,0,11.26,7,15.09,2249.23,0.165088444,66.625,1,1,0,3,-1
"18",41,0,"SO",22,0,"P",1.216,553,36.4550378787879,1.27,30.975,13.9416666666667,3.1,18.16,341.62,0,67.0043359375,1,0,51.05,4,-1
"19",29,0,"SO",16,0.47,"P",1.476,355.25,20.68,1.09,110.87,3,0.334,3,274.96,0,51.2734375,1.21,0,1.90999999999965,5,-1
"20",30,0,"SC",21,1,"P",1,3300,4,1,95,23,2,18,248,0.0430592234,69.640625,1,1,2970,3,3
"21",40,0,"SA",20,1,"P",1.14,950,13,2,39,20,1,22,224.62,0.0830125867,74.921875,1,1,0,3,0
"22",43,420,"SO",21,1,"R",1.36,250,18,2,41.43,11,2.44,15,0,0.0473788973,38.234375,1.25,0,0,3,2
"23",-35,1,"SO",19,2,"P",1,200,2,1,26.76,2,1,5,60.9,0.0862325833,53.9921875,1.1,0,0,3,-1
